timestamp_utc,mark_close,high,low,effective_bid,effective_ask,effective_spread,volume,source
2026-07-28T13:30:00+00:00,9.23,9.57,9.23,9.2917,9.5214,0.2297,13,unusual_whales
2026-07-28T13:31:00+00:00,8.6,9.04,8.6,8.9523,8.6,,23,unusual_whales
2026-07-28T13:32:00+00:00,8.31,8.55,8.31,8.43,8.5,0.07,3,unusual_whales
2026-07-28T13:33:00+00:00,8.45,8.45,8.45,8.45,,,3,unusual_whales
2026-07-28T13:34:00+00:00,8.4,8.4,8.4,8.4,,,2,unusual_whales
2026-07-28T13:35:00+00:00,8.99,9.0,8.88,8.9,8.9958,0.0958,72,unusual_whales
2026-07-28T13:37:00+00:00,8.45,8.75,8.45,8.75,8.4992,,65,unusual_whales
2026-07-28T13:38:00+00:00,8.6,8.66,8.6,,8.66,,4,unusual_whales
2026-07-28T13:39:00+00:00,8.17,8.3,8.17,8.205,8.3,0.095,11,unusual_whales
2026-07-28T13:40:00+00:00,8.13,8.13,8.13,8.13,,,3,unusual_whales
2026-07-28T13:41:00+00:00,8.16,8.53,8.0,8.53,8.08,,3,unusual_whales
2026-07-28T13:42:00+00:00,7.76,7.76,7.76,7.76,,,1,unusual_whales
2026-07-28T13:43:00+00:00,7.0,7.34,7.0,7.15,,,3,unusual_whales
2026-07-28T13:44:00+00:00,7.27,7.43,7.06,7.06,7.33,0.27,37,unusual_whales
2026-07-28T13:46:00+00:00,6.8,7.1,6.8,6.8379,,,37,unusual_whales
2026-07-28T13:47:00+00:00,6.5,6.86,6.5,6.7344,6.7514,0.017,51,unusual_whales
2026-07-28T13:48:00+00:00,7.39,7.39,6.62,6.7467,7.39,0.6433,6,unusual_whales
2026-07-28T13:49:00+00:00,7.69,7.78,7.44,7.7512,7.6168,,89,unusual_whales
2026-07-28T13:50:00+00:00,7.99,8.19,7.99,8.19,7.9967,,9,unusual_whales
2026-07-28T13:51:00+00:00,7.48,7.65,7.43,,7.5234,,35,unusual_whales
2026-07-28T13:52:00+00:00,8.07,8.07,7.65,8.07,7.65,,10,unusual_whales
2026-07-28T13:53:00+00:00,7.2,7.2,7.2,,7.2,,8,unusual_whales
2026-07-28T13:55:00+00:00,7.13,7.18,7.13,,7.155,,2,unusual_whales
2026-07-28T13:56:00+00:00,7.36,7.36,7.0,7.0086,7.12,0.1114,27,unusual_whales
2026-07-28T13:58:00+00:00,6.79,6.79,6.79,,6.79,,1,unusual_whales
2026-07-28T13:59:00+00:00,6.98,6.98,6.65,6.8989,6.6627,,45,unusual_whales
2026-07-28T14:00:00+00:00,7.62,7.65,7.28,7.3329,7.5233,0.1904,45,unusual_whales
2026-07-28T14:01:00+00:00,7.44,7.76,7.44,7.6,7.44,,6,unusual_whales
2026-07-28T14:02:00+00:00,7.75,7.91,7.75,7.8177,7.8,,20,unusual_whales
2026-07-28T14:04:00+00:00,7.59,7.59,7.5,7.5,,,4,unusual_whales
2026-07-28T14:05:00+00:00,8.03,8.03,8.0,8.025,8.0,,6,unusual_whales
2026-07-28T14:07:00+00:00,7.89,8.27,7.85,7.85,8.27,0.42,8,unusual_whales
2026-07-28T14:08:00+00:00,7.37,7.37,7.24,7.2433,7.325,0.0817,23,unusual_whales
2026-07-28T14:09:00+00:00,7.61,7.61,7.61,7.61,,,1,unusual_whales
2026-07-28T14:10:00+00:00,7.35,7.35,7.35,,7.35,,2,unusual_whales
2026-07-28T14:11:00+00:00,7.62,7.71,7.62,7.62,7.68,0.06,14,unusual_whales
2026-07-28T14:12:00+00:00,7.23,7.84,7.23,7.4383,7.84,0.4017,17,unusual_whales
2026-07-28T14:14:00+00:00,6.7,6.78,6.7,,6.7383,,6,unusual_whales
2026-07-28T14:15:00+00:00,7.32,7.33,7.14,7.2225,7.2196,,37,unusual_whales
